model,imputed_f2,nonimputed_f2,imputed_brier_tscaled,nonimputed_brier_tscaled,delta_f2_imputed_minus_nonimputed,delta_rmse_imputed_minus_nonimputed
lstm,0.8559452900948599,0.6766917293233082,0.2545836114799178,0.2843501177245502,0.17925356077155163,-0.0601235083695358
gru,0.896763901549681,0.7336343115124153,0.2545775764343592,0.2844471674794115,0.16312959003726568,-0.006066425117980098
tcn,0.8175690367471189,0.5731593662628145,0.2555892918542993,0.2845386338013731,0.2444096704843044,-0.34807702283554787
transformer,0.8957312806158153,0.6798245614035088,0.2553400468908523,0.2850304889090365,0.21590671921230653,-0.027055751865179
